file_path,line_numbers,texts
online-editor/src/navigation/Routes.ts,"[23, 24, 25, 26, 27, 28, 29, 33, 34, 35, 44, 49, 50, 72, 76, 80, 152]","[""settings"", ""url"", ""branch"", ""expand"", ""authSessionId"", ""insecurelyDisableTlsCertificateValidation"", ""confirm"", ""extension"", ""workspaceId"", ""fileRelativePath"", ""pathParams"", ""pathParams"", ""queryParams"", ""queryParams"", ""queryParams"", ""pathParams"", ""type"", ""samples/Sample.${type}""]"
online-editor/src/dmnRunner/DmnRunnerStatus.ts,"[26, 27]","[""form"", ""table""]"
online-editor/src/dmnRunner/DmnRunnerDrawerPanelContent.tsx,"[52, 62, 86, 93, 117, 138, 169, 189, 191, 192, 199, 202, 213, 218, 278, 303]","[""row"", ""column"", ""row"", ""row"", ""column"", ""function"", ""button"", ""nowrap"", ""justifyContentSpaceBetween"", ""alignItemsCenter"", ""default"", ""h3"", ""h3"", ""form"", ""h3""]"
online-editor/src/dmnRunner/DmnRunnerErrorBoundary.tsx,"[48, 57]","[""h2"", ""_blank"", ""noopener noreferrer""]"
online-editor/src/dmnRunner/DmnRunnerDockToggle.tsx,"[36, 38, 39, 61, 62]","[""flex""]"
online-editor/src/dmnRunner/DmnRunnerTable.tsx,"[308, 309, 314, 315, 341, 342, 345, 346]","[""dblclick"", ""dblclick"", ""dblclick"", ""dblclick"", ""scroll"", ""scroll"", ""scroll"", ""scroll""]"
online-editor/src/dmnRunner/DmnRunnerContextProvider.tsx,"[194, 239, 268, 335, 360, 394, 404, 525, 550, 746]","[""details"", ""stack"", ""PROBLEM"", ""function"", ""function"", ""definitions"", ""h2""]"
online-editor/src/extendedServices/ExtendedServicesIcon.tsx,"[53, 55, 70, 72, 84, 86]","[""outdated"", ""left"", ""connected"", ""left"", ""disconnected"", ""left""]"
online-editor/src/extendedServices/ExtendedServicesModal.tsx,"[671, 799, 807, 842, 843, 849]","[""default"", ""submit"", ""submit"", ""error"", ""number""]"
online-editor/src/extendedServices/ExtendedServicesClient.ts,"[46, 62, 77, 92, 106, 107, 110, 111]","[""POST"", ""POST"", ""POST"", ""POST"", ""$ref"", ""#/definitions/"", ""InputSet"", ""OutputSet"", ""${inputSet}"", ""g"", ""InputSet"", ""${outputSet}"", ""g"", ""OutputSet""]"
